Source Title,Source Year,Study Type,Main Topic Area,Key Gaps Identified,Key Limitations Discussed,Key Recommendations,Contradictions Or Debates
Advancements and Challenges in the Development of Robotic Lower Limb Prostheses: A Systematic Review,2024,Systematic review,"design methods, customization, user involvement",Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Active lower limb prosthetics: a systematic review of design issues and solutions,2016,Systematic review,"design methods, customization, user involvement","Identified gaps include the lack of clinical trials comparing powered prostheses to conventional/semi-active devices, heavy reliance on prototypes and small subject numbers necessitating expanded clinical evaluations with commercial devices and diverse gait tasks, unmet engineering challenge to match biological actuation performance while keeping weight and size acceptable, and practical barriers for alternative actuators (e.g., pneumatic PAMs) such as supplying pressure for self-contained systems.","Key limitations include fundamental design trade-offs between force/torque output, efficiency, size and weight in actuation units; control strategy limitations such as echo control's inability to support asymmetric or natural interaction; myoelectric control challenges including signal noise, latency and training/proprioception burdens; and the translational gap with many concepts remaining at prototype stage.","Recommendations include conducting larger clinical trials using commercial powered prostheses across varied locomotion tasks (incl. slopes, stairs, running); focus actuator development on electromechanical solutions and variable impedance actuators to balance power, efficiency and compliance; and evaluate emerging commercial devices in clinical research to bridge prototype-to-product gap.","Debates highlighted include the optimal knee kinematic design (single-axis vs polycentric) with differing recommendations, and trade-offs between actuation principles: electromechanical motors are common despite lower power density, while pneumatic actuators offer better force-to-weight and compliance but have practical supply challenges."
A review of user needs to drive the development of lower limb prostheses,2022,Systematic review,multiple,"The review identifies several research gaps: the relationship between specific user needs, objective performance measures, and overall satisfaction/quality of life remains unresolved; limited understanding and solutions for social integration, sexual participation, acceptance, appearance, battery life, and clothing/shoe restrictions; lack of commercially available artificial sensory feedback systems despite promising results; poor reporting of prosthesis types in studies, limiting generalizability of findings.","Key limitations discussed include: multifaceted, context-dependent and interacting nature of user needs that complicates translation into design; insufficiency of current assessment methods and need for novel, holistic, ecologically valid measures; mismatch between self-reported outcomes and objective measures; laboratory-based gait analyses lacking real-world validity.",Recommendations: prioritize user-centered identification of needs to drive prosthesis development; consider additional assessment and development factors recognizing heterogeneous responses to improvements; combine objective measures with subjective impressions and account for inter-subject variability in studies; explore alternative assessment tools like neural correlates and visual sampling to capture cognitive load and real-world function.,"The paper highlights contradictions between subjective improvements (e.g., increased balance confidence) and objective outcomes (no significant reduction in falls), and more broadly reports a recurring mismatch between self-reports and objective performance measures."
Low limb prostheses and complex human prosthetic interaction: A systematic literature review,2023,Systematic literature review,"Multiple (design methods, customization, accessibility indirectly via usability and energy, user involvement via HPI)","The review reports several specific research gaps: lack of a standardised, generalised design structure for new developments; shortcomings in energy management and power/weight trade-offs for battery life and actuator design; absence of generalised machine-learning models for intention recognition and locomotion prediction; need for integrated neural network/deep RL approaches combined with biomechanical models to improve reaction time and autonomous prediction; limited work on multi-degree-of-freedom (2–3 DoF) prostheses balancing performance with weight/size constraints; and immature environment-sensing and perception integration (cameras/IMUs) constrained by processing and weight limits.","The paper highlights concrete limitations: many prostheses operate as one-way systems increasing cognitive load on users and lacking bidirectional feedback; EEG/EMG methods suffer from invasiveness (iEMG) or signal noise and unclear methodological reporting (sEMG/EEG electrode placement and data collection); energy and actuator design limit battery life and weight, and control tuning alone cannot resolve fundamental actuator inefficiencies; sensing studies often omit data collection details reducing reproducibility.","Recommendations include adopting the paper's proposed generalised design structure as a guideline for future developments; prioritising targeted improvements to individual subsystems (HPI, sensing, electronics, control) sequentially; develop and evaluate energy-efficient, design-specific actuators to reduce weight and extend battery life; pursue integrated ML/deep-RL models combined with biomechanical models for autonomous locomotion prediction and multi-DoF control; and test systems on uneven terrains to improve real-world adaptability. ","The review notes several tensions and inconsistent findings: EEG and EMG each have advocates—EEG appears more prevalent in studies but is computationally costly while EMG is cheaper but noisier; combining both improves accuracy. Evidence on benefits from increased degrees of freedom is mixed—higher DoF does not always reduce metabolic cost. Locomotion prediction studies report generally high accuracy but have failure modes (e.g., stair descent detection) tied to manual parameter settings, indicating debate over reliability and generalisability of current predictors. "
Functionality and Comfort Design of Lower-Limb Prosthetics: A Review,2023,systematic literature review,multiple,"The review identifies several research gaps: need for stronger user-centred design evidence and involvement in design processes; affordability and access to advanced prosthetics, especially cost-effective solutions; unresolved challenges around neural interfaces and sensory feedback integration for natural control; and general gaps in the literature that warrant further study and recommendations.",The paper highlights key limitations in current prosthetic design: high cost and training requirements for advanced tech; concerns about long-term performance and durability of components; and persistent issues with socket comfort and skin-related problems.,Recommendations include prioritising affordability and accessibility in future designs; adopting and evaluating user-centred design methods to improve satisfaction; and focused R&D on neural interfaces and sensory feedback to enhance control and embodiment.,"The review notes a tension between rapid technological advances and practical barriers to adoption: while robotics, AI, and sensors promise improved function, adoption is constrained by cost, required training, and customization burdens. No specific contradictory empirical findings are reported; the debate is framed as opportunity versus accessibility constraints."
"A review of technology, materials and R&D challenges of upper limb prosthesis for improved user suitability.",2021,literature review,multiple,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Current Trends & Challenges in Prosthetic Product Development: Literature Review,2019,literature review,"multiple (design methods, customization, accessibility, user involvement)",Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Design Optimization in Lower Limb Prostheses: A Review,2019,literature review,design methods,"Identified gaps include lack of predictive tools for user performance to guide design optimization, over-reliance on anthropomorphic design that ignores altered post-amputation anatomy, under-exploration of how prosthetic joint behavior affects whole-body gait and user experience, and insufficient integration between experimental parameterization and model-based simulations to improve real-world outcomes.","Limitations highlighted are that many designs fail to deliver their hypothesized biomechanical or clinical outcomes consistently, current design approaches are constrained by anthropomorphic assumptions that may not fit altered anatomy, and there is a lack of effective translation from experimental and simulation research into improved real-world prosthesis performance.","Recommendations include incorporating predictive tools for user performance into early design optimization, and advancing two research paths—experimental parameterization of designs and model-based simulations—to better predict and improve user outcomes.","The paper notes inconsistency between hypothesized design benefits and observed biomechanical outcomes, indicating conflicting or inconclusive evidence about whether current design approaches achieve their intended effects."
Active upper limb prostheses: a review on current state and upcoming breakthroughs,2022,Literature review / discussion paper,"Multiple (design methods, customization, accessibility, user involvement)","The review identifies major gaps: high prosthesis abandonment rates linked to insufficiently patient-tailored design; lack of personalization and user-centered development and involvement in design processes; gaps in robust control and sensing—EMG systems' poor robustness and sensitivity to artifacts; insufficient clinical translation of sensory feedback approaches, especially non-invasive feedback; and hurdles for invasive methods (surgical risks, implant compatibility) limiting wider adoption.","Key limitations: poor adjustability and limited kinematics and battery/operation time impacting function; low social/personal acceptance driven by poor anthropomorphism, weight, and noise; fundamental instability and noise sensitivity of sEMG/HD-sEMG limiting real-world use; lack of integrated haptic feedback in commercial devices; and stagnation of control paradigms with dated strategies still prevailing.","Recommendations: pursue multimodal sensor fusion and multiple input sources plus integrated sensory feedback to enable closed-loop control; prioritize user-centered design, training, and co-adaptive human-machine interfaces to improve acceptance and reduce abandonment; develop modular architectures allowing progressive implant integration and miniaturization for socket embedding.",Debates: adequacy of non-invasive signals for robust control—some studies show promise but it's still contested; tension between anthropomorphic design vs. pure functional priorities among users (preferences vary); pace and feasibility of brain-control/neuroprosthetic approaches vs near-term incremental improvements—long-term vision vs short-term deployable solutions.
Perceptions of cosmesis and function in adults with upper limb prostheses: a systematic literature review,2011,Systematic review,Multiple (design methods: cosmesis vs function; user involvement; social implications),Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
