test_id,familia,subfamilia,requisito,pre_condicoes,procedimento_resumido,resultado_esperado,evidencia,estado
REP-DET-001,repetibilidade,Flexy Beast,Mesma configuração produz geometria equivalente,Configuração e versão congeladas,Executar renderização e exportação dez vezes,Dez conclusões e equivalência segundo checksums ou métricas,logs;STL/3MF;métricas;checksums,inconclusivo — 7/10 concluídas; conclusões idênticas
REP-DET-002,repetibilidade,Paraglider,Mesma configuração produz geometria equivalente,Configuração e versão congeladas,Executar renderização e exportação dez vezes,Dez conclusões e equivalência segundo checksums ou métricas,logs;STL/3MF;métricas;checksums,inconclusivo — 5/10 concluídas; conclusões idênticas
REP-DET-003,repetibilidade,UnLimbited Phoenix,Mesma configuração produz geometria equivalente,Configuração e versão congeladas,Executar renderização e exportação dez vezes,Dez conclusões e equivalência segundo checksums ou métricas,logs;STL/3MF;métricas;checksums,inconclusivo — 5/10 concluídas; conclusões idênticas
REP-XBR-001,reprodutibilidade,navegadores,Configuração mantém equivalência nos navegadores suportados,Chromium Firefox e WebKit disponíveis,Executar caso congelado em cada navegador,Classificação explícita da equivalência ou incompatibilidade,relatórios Playwright;artefactos;métricas,parcial — Chromium e Firefox idênticos; WebKit não concluiu
REP-AI-001,repetibilidade,IA,Entrada idêntica permite medir dispersão,Modelo prompt esquema e definições congelados,Executar o mesmo cenário dez vezes,Respostas preservadas e dispersão calculável,respostas JSON;metadados;estatísticas,não executado com IA real — simulação revelou aplicação acima do limite
REP-AI-002,repetibilidade,IA lateralidade,Lateralidade crítica não depende de inferência livre,Cenários equivalentes direita e esquerda,Executar dez vezes cada cenário,Regra determinística aplicada e divergências registadas,respostas;configurações;logs,parcial — regra preservada em simulação; sem campanha real
REP-AI-003,repetibilidade,IA esquema,Respostas aplicadas respeitam o esquema,Validação e limites activos,Executar cenários congelados,Contagem de válidos corrigidos rejeitados e falhas,respostas brutas;respostas processadas;logs,parcial — resposta válida e recuperação verificadas por simulação
ROB-NOM-001,robustez,fluxo nominal,Perfil válido conclui configuração renderização e exportação,Servidor e sessão activos,Executar percurso integral,Conclusão sem erro não tratado,vídeo ou capturas;logs;artefacto,passa
ROB-LIM-001,robustez,limite mínimo,Parâmetro no mínimo é tratado segundo a regra,Modelo e limite identificados,Aplicar exactamente o mínimo,Renderização ou rejeição conforme especificação,configuração;captura;log;artefacto,passa
ROB-LIM-002,robustez,limite máximo,Parâmetro no máximo é tratado segundo a regra,Modelo e limite identificados,Aplicar exactamente o máximo,Renderização ou rejeição conforme especificação,configuração;captura;log;artefacto,passa
ROB-INV-001,robustez,abaixo do mínimo,Valor inferior ao mínimo não é aplicado silenciosamente,Modelo e limite identificados,Introduzir valor inferior,Limitação rejeição ou confirmação explícita,captura;log;estado final,passa
ROB-INV-002,robustez,acima do máximo,Valor superior ao máximo não é aplicado silenciosamente,Modelo e limite identificados,Introduzir valor superior,Limitação rejeição ou confirmação explícita,captura;log;estado final,passa
ROB-INV-003,robustez,campo omisso,Campo obrigatório omisso é detectado,Formulário ou pedido preparado,Omitir campo obrigatório,Mensagem explícita e ausência de aplicação silenciosa,captura;resposta;log,passa
ROB-INV-004,robustez,tipo inválido,Texto em campo numérico é controlado,Formulário disponível,Introduzir tipo inválido,Rejeição e preservação do estado válido,captura;log,falha — interface rejeita; pedido directo aceita texto
